firstName	lastName	shirtNo	birthDate	position	teamID
Rhys	Norrington-Davies	33	1999/4/22	Defender	14
Jili	Buyabu	40	2003/8/9	Defender	14
Yasser	Larouci	27	2001/1/1	Defender	14
Auston	Trusty	5	1998/8/12	Defender	14
Luke	Thomas	14	2001/6/10	Defender	14
Femi	Seriki	38	2002/4/28	Defender	14
John	Fleck	4	1991/8/24	Midfielder	14
Oliver	Norwood	16	1991/4/12	Midfielder	14
Ismaila	Coulibaly	17	2000/12/25	Midfielder	14
Ben	Osborn	23	1994/8/5	Midfielder	14
Andre	Brooks	35	2003/8/20	Midfielder	14
Anis	Ben Slimane	25	2001/3/16	Midfielder	14
Vinicius	Souza	21	1999/6/17	Midfielder	14
Gustavo	Hamer	8	1997/6/24	Midfielder	14
Tom	Davies	22	1998/6/30	Midfielder	14
James	McAtee	28	2002/10/18	Midfielder	14
Ryan	Oné	26	2006/6/26	Midfielder	14
Rhian	Brewster	7	2000/4/1	Forward	14
Oliver	McBurnie	9	1996/6/4	Forward	14
William	Osula	32	2003/8/4	Forward	14
Daniel	Jebbison	36	2003/7/11	Forward	14
Bénie	Traoré	11	2002/11/30	Forward	14
Cameron	Archer	10	2001/12/9	Forward	14
Hugo	Lloris	1	1986/12/26	Goalkeeper	54
Fraser	Forster	20	1988/3/17	Goalkeeper	54
Brandon	Austin	40	1999/1/8	Goalkeeper	54
Alfie	Whiteman	41	1998/10/2	Goalkeeper	54
Guglielmo	Vicario	13	1996/10/7	Goalkeeper	54
Charlie	Sayers	3	2004/3/29	Defender	54
Emerson	Royal	12	1999/1/14	Defender	54
Eric	Dier	15	1994/1/15	Defender	54
Cristian	Romero	17	1998/4/27	Defender	54
Pedro	Porro	23	1999/9/13	Defender	54
Ben	Davies	33	1993/4/24	Defender	54
Maksim	Paskotsi	48	2003/1/19	Defender	54
Kallum	Cesay	50	2002/9/4	Defender	54
Marqes	Muir	62	2002/9/21	Defender	54
Alfie	Dorrington	65	2005/4/20	Defender	54
Pedro	Porro	23	1999/9/13	Defender	54
Destiny	Udogie	38	2002/11/28	Defender	54
Ashley	Phillips	35	2005/6/26	Defender	54
Micky	van de Ven	37	2001/4/19	Defender	54
Oliver	Skipp	4	2000/9/16	Midfielder	54
Pierre-Emile	Højbjerg	5	1995/8/5	Midfielder	54
Ivan	Perisic	14	1989/2/2	Midfielder	54
Ryan	Sessegnon	19	2000/5/18	Midfielder	54
Dejan	Kulusevski	21	2000/4/25	Midfielder	54
Pape	Matar Sarr	29	2002/9/14	Midfielder	54
Rodrigo	Bentancur	30	1997/6/25	Midfielder	54
Yves	Bissouma	8	1996/8/30	Midfielder	54
Nile	John	43	2003/3/6	Midfielder	54
Matthew	Craig	51	2003/4/16	Midfielder	54
Romaine	Mundle	55	2003/4/24	Midfielder	54
Max	Robson	57	2002/10/17	Midfielder	54
George	Abbott	77	2005/8/17	Midfielder	54
Dejan	Kulusevski	21	2000/4/25	Midfielder	54
James	Maddison	10	1996/11/23	Midfielder	54
Giovani	Lo Celso	18	1996/4/9	Midfielder	54
Son	Heung-Min	7	1992/7/8	Forward	54
	Richarlison	9	1997/5/10	Forward	54
Lucas	Moura	27	1992/8/13	Forward	54
Will	Lankshear	62	2005/4/20	Forward	54
Jamie	Donley	63	2005/1/3	Forward	54
Bryan	Gil	11	2001/2/11	Forward	54
Troy	Parrott	52	2002/2/4	Forward	54
Manor	Solomon	27	1999/7/24	Forward	54
Alejo	Véliz	36	2003/9/19	Forward	54
Brennan	Johnson	22	2001/5/23	Forward	54
Lukasz	Fabianski	1	1985/4/18	Goalkeeper	24
Alphonse	Areola	23	1993/2/27	Goalkeeper	24
Joseph	Anang	49		Goalkeeper	24
Ben	Johnson	2		Defender	24
Aaron	Cresswell	3	1989/12/15	Defender	24
Kurt	Zouma	4		Defender	24
Vladimír	Coufal	5		Defender	24
Angelo	Ogbonna	21	1988/5/23	Defender	24
Thilo	Kehrer	24	1996/9/21	Defender	24
Nayef	Aguerd	27	1996/3/30	Defender	24
	Emerson	33	1994/8/3	Defender	24
Kaelan	Casey	42	2004/10/28	Defender	24
Konstantinos	Mavropanos	15	1997/12/11	Defender	24
Pablo	Fornals	8	1996/2/22	Midfielder	24
Lucas	Paquetá	10	1997/8/27	Midfielder	24
Tomás	Soucek	28	1995/2/27	Midfielder	24
Conor	Coventry	54	2000/3/25	Midfielder	24
Dan	Chesters	51	2002/4/4	Midfielder	24
Edson	Álvarez	19	1997/10/24	Midfielder	24
James	Ward-Prowse	7	1994/11/1	Midfielder	24
Mohammed	Kudus	14	2000/8/2	Midfielder	24
Michail	Antonio	9	1990/3/28	Forward	24
Maxwel	Cornet	17	1996/9/27	Forward	24
Danny	Ings	18	1992/7/23	Forward	24
Jarrod	Bowen	20	1996/12/20	Forward	24
Saïd	Benrahma	22	1995/8/10	Forward	24
Divin	Mubama	45	2004/10/25	Forward	24
Callum	Marshall	50	2004/11/28	Forward	24
José	Sá	1	1993/1/17	Goalkeeper	38
Louie	Moulden	13	2002/1/6	Goalkeeper	38
Dan	Bentley	25	1993/7/13	Goalkeeper	38
Tom	King	40	1995/3/9	Goalkeeper	38
Rayan	Aït-Nouri	3	2001/6/6	Defender	38
Craig	Dawson	15	1990/5/6	Defender	38
Jonny	Otto	19	1994/3/3	Defender	38
Nélson	Semedo	22	1993/11/16	Defender	38
Maximilian	Kilman	23	1997/5/23	Defender	38
Toti	Gomes	24	1999/1/16	Defender	38
Hugo	Bueno	17	2002/9/18	Defender	38
Dexter	Lembikisa	81		Defender	38
Matt	Doherty	2	1992/1/16	Defender	38
Santiago	Bueno	4	1998/11/9	Defender	38
Mario	Lemina	5	1993/9/1	Midfielder	38
Boubacar	Traoré	6	2001/8/20	Midfielder	38
Rúben	Neves	8	1997/3/13	Midfielder	38
Pablo	Sarabia	21	1992/5/11	Midfielder	38
João	Gomes	8	2001/2/12	Midfielder	38
Joe	Hodge	32	2002/9/14	Midfielder	38
Boubacar	Traoré	6	2001/8/20	Midfielder	38
Tommy	Doyle	20	2001/10/17	Midfielder	38
Jean-Ricner	Bellegarde	27	1998/6/27	Midfielder	38
Pedro	Neto	7	2000/3/9	Forward	38
Hwang	Hee-Chan	11		Forward	38
Matheus	Cunha	12	1999/5/27	Forward	38
Sasa	Kalajdzic	18	1997/7/7	Forward	38
Diego	Costa	29	1988/10/7	Forward	38
Nathan	Fraser	63	2005/2/22	Forward	38
Fábio	Silva	9	2002/7/19	Forward	38
Matheus	Cunha	12	1999/5/27	Forward	38
Emilio	Ballard-Matthews	78	2007/11/30	Forward	38
Enso	González	30	2005/1/20	Forward	38
